ano,sigla_uf,meta_pct,indicador_pct,origem_meta,origem_indicador,fonte
2028,RN,67.7,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,RN,73.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,RN,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,PB,,,,NAO_COLETADO,INEP_MEC
2024,PB,56.6,56.0,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,PB,60.5,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,PB,64.4,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,PB,68.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,PB,72.2,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,PB,76.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,PB,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,PE,,,,NAO_COLETADO,INEP_MEC
2024,PE,60.7,60.8,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,PE,63.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,PE,67.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,PE,70.4,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,PE,73.6,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,PE,76.8,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,PE,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,AL,,,,NAO_COLETADO,INEP_MEC
2024,AL,50.3,48.6,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,AL,55.2,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,AL,60.2,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,AL,65.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,AL,70.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,AL,75.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,AL,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,SE,,31.0,,INEP_PUBLICADO,INEP_MEC
2024,SE,38.0,38.4,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,SE,45.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,SE,52.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,SE,59.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,SE,66.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,SE,73.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,SE,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,BA,,37.0,,INEP_PUBLICADO,INEP_MEC
2024,BA,43.1,36.0,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,BA,49.3,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,BA,55.4,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,BA,61.6,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,BA,67.7,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,BA,73.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,BA,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,MG,,,,NAO_COLETADO,INEP_MEC
2024,MG,70.4,72.1,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,MG,72.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,MG,73.6,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,MG,75.2,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2028,MG,76.8,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2029,MG,78.4,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2030,MG,80.0,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2023,ES,,68.0,,INEP_PUBLICADO,INEP_MEC
2024,ES,69.7,71.7,DERIVADO_REGRA_TRAJETORIA,INEP_PUBLICADO,INEP_MEC
2025,ES,71.4,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2026,ES,73.1,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
2027,ES,74.9,,DERIVADO_REGRA_TRAJETORIA,NAO_COLETADO,INEP_MEC
